service_id,date,exception_type
1002,20250101,2
1002,20250106,2
1002,20250420,2
1002,20250421,2
1002,20250501,2
1002,20250530,2
1002,20250619,2
1002,20250622,2
1002,20250805,2
1002,20250815,2
1002,20251101,2
1002,20251118,2
1002,20251225,2
1002,20251226,2
1003,20241223,2
1003,20241224,2
1003,20241225,2
1003,20241226,2
1003,20241227,2
1003,20241228,2
1003,20241229,2
1003,20241230,2
1003,20241231,2
1003,20250101,2
1003,20250102,2
1003,20250103,2
1003,20250104,2
1003,20250105,2
1003,20250106,2
1003,20250224,2
1003,20250225,2
1003,20250226,2
1003,20250227,2
1003,20250228,2
1003,20250301,2
1003,20250302,2
1003,20250417,2
1003,20250418,2
1003,20250419,2
1003,20250420,2
1003,20250421,2
1003,20250501,2
1003,20250530,2
1004,20250101,1
1004,20250106,1
1004,20250420,1
1004,20250421,1
1004,20250501,1
1004,20250530,1
1004,20250619,1
1004,20250622,1
1004,20250805,1
1004,20250815,1
1004,20251101,1
1004,20251118,1
1004,20251225,1
1004,20251226,1
